City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
0,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Port Alfred,ZA,64.08,clear sky,-33.5906,26.891,The Halyards Hotel
3,Vaini,TO,64.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Lebu,CL,55.31,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
5,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
6,Airai,TL,58.26,broken clouds,-8.9266,125.4092,Juvinal Martin
7,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Rikitea,PF,73.96,broken clouds,-23.1203,-134.9692,Pension Maro'i
10,Vega De Alatorre,MX,88.5,scattered clouds,20.0333,-96.6333,El Polo Norte
11,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
13,Shimoda,JP,69.17,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
15,Cape Town,ZA,63.88,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Bengkulu,ID,75.4,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
17,Vilcun,CL,50.74,overcast clouds,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
18,Souillac,MU,74.35,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Albany,US,58.26,overcast clouds,42.6001,-73.9662,
21,Sinnamary,GF,79.5,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
23,Price,US,74.71,clear sky,39.5994,-110.8107,National 9 - Price River Inn
24,Laguna,US,77.85,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
25,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
28,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Melfi,IT,78.49,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
31,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
33,Mahebourg,MU,74.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
35,Hilo,US,74.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Khabary,RU,51.28,broken clouds,53.6259,79.5345,ИП Аксёнова С.В.
39,Hambantota,LK,81.05,overcast clouds,6.1241,81.1185,Bungalow 63
40,Geraldton,AU,65.12,light rain,-28.7667,114.6,Broadwater Mariner Resort
41,Chuy,UY,62.96,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
43,Taltal,CL,65.93,scattered clouds,-25.4,-70.4833,Residencial Karime
44,Carnarvon,AU,69.87,moderate rain,-24.8667,113.6333,Hospitality Carnarvon
45,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
46,Vryburg,ZA,59.88,clear sky,-26.9566,24.7284,Times Premier Lodge
47,Kumbo,CM,63.81,light rain,6.2,10.6667,Western Inn Resort
50,Lazaro Cardenas,MX,87.46,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
52,Donskoye,RU,77.13,few clouds,45.4552,41.9741,
53,Katobu,ID,74.08,clear sky,-4.9408,122.5276,La Ode Husein
54,Shingu,JP,68.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
55,Yarada,IN,89.92,scattered clouds,17.65,83.2667,Jeevan
57,Sur,OM,88.29,clear sky,22.5667,59.5289,Sur Plaza Hotel
59,Voyinka,UA,67.55,overcast clouds,45.8699,33.9914,
61,Busselton,AU,61.05,overcast clouds,-33.65,115.3333,Observatory Guest House
62,Manokwari,ID,78.76,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
64,Leh,IN,52.29,clear sky,34.1667,77.5833,Hotel Ladakh Greens
65,Half Moon Bay,US,68.11,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
66,Santa Rosa,PH,87.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
67,Harper,LR,83.17,overcast clouds,4.375,-7.7169,Screensaver
68,Hermanus,ZA,62.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Atuona,PF,79.77,few clouds,-9.8,-139.0333,Villa Enata
70,Cidreira,BR,63.14,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
71,Hede,CN,61.86,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
73,Kirakira,SB,76.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
75,Peru,US,54.21,overcast clouds,40.7537,-86.0689,Cole Porter Inn
76,Majene,ID,78.42,few clouds,-3.5403,118.9707,Kost Putri RABBANI
77,Merauke,ID,76.15,overcast clouds,-8.4667,140.3333,
78,Hobyo,SO,80.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
79,Macenta,GN,73.4,moderate rain,8.5435,-9.471,Hôtel Yansané
80,Jamestown,US,50.29,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
83,Faya,SA,73.51,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
84,Puerto Maldonado,PE,88.2,few clouds,-12.6,-69.1833,Wasai Hotel
86,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
87,Collecchio,IT,76.19,few clouds,44.754,10.2184,Hotel Campus Collecchio
88,Valle De Allende,MX,87.12,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
