City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
0,Kapaa,US,22.0752,-159.319,75.52,83,40,9.33,light rain
1,Port Alfred,ZA,-33.5906,26.891,64.08,74,0,18.77,clear sky
2,North Myrtle Beach,US,33.816,-78.68,95.34,73,1,1.99,clear sky
3,Vaini,TO,-21.2,-175.2,64.56,100,75,2.3,broken clouds
4,Lebu,CL,-37.6167,-73.65,55.31,82,100,8.34,overcast clouds
5,Butaritari,KI,3.0707,172.7902,81.64,81,95,12.88,light rain
6,Airai,TL,-8.9266,125.4092,58.26,95,61,3.74,broken clouds
7,Saint-Philippe,RE,-21.3585,55.7679,72.95,74,45,3.58,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,73.96,71,69,17.11,broken clouds
9,Whitehorse,CA,60.7161,-135.0538,47.01,61,75,15.01,broken clouds
10,Vega De Alatorre,MX,20.0333,-96.6333,88.5,64,47,12.97,scattered clouds
11,Esperance,AU,-33.8667,121.9,60.64,47,99,16.8,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,75,9.22,broken clouds
13,Shimoda,JP,34.6667,138.95,69.17,93,100,13.15,moderate rain
14,Longyearbyen,SJ,78.2186,15.6401,31.84,64,0,14.97,clear sky
15,Cape Town,ZA,-33.9258,18.4232,63.88,86,40,4.0,light rain
16,Bengkulu,ID,-3.8004,102.2655,75.4,92,100,3.87,light rain
17,Vilcun,CL,-38.65,-72.2333,50.74,88,100,8.68,overcast clouds
18,Souillac,MU,-20.5167,57.5167,74.35,88,20,6.69,few clouds
19,Iqaluit,CA,63.7506,-68.5145,31.73,69,75,18.01,broken clouds
20,Albany,US,42.6001,-73.9662,58.26,52,100,5.06,overcast clouds
21,Sinnamary,GF,5.3833,-52.95,79.5,89,80,9.69,broken clouds
22,Nizwa,OM,22.9333,57.5333,93.81,14,3,8.39,clear sky
23,Price,US,39.5994,-110.8107,74.71,15,1,8.05,clear sky
24,Laguna,US,38.421,-121.4238,77.85,64,1,1.99,clear sky
25,Ponta Do Sol,PT,32.6667,-17.1,75.0,73,49,2.68,scattered clouds
26,Hobart,AU,-42.8794,147.3294,46.26,73,90,1.01,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,31.66,100,75,25.32,broken clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,65,0,14.97,clear sky
29,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,85,5.99,overcast clouds
30,Melfi,IT,40.9965,15.6514,78.49,39,6,11.56,clear sky
31,Ribeira Grande,PT,38.5167,-28.7,66.6,63,20,12.66,few clouds
32,Puerto Plata,DO,19.7934,-70.6884,90.16,79,40,12.35,scattered clouds
33,Mahebourg,MU,-20.4081,57.7,74.25,88,20,1.14,few clouds
34,Punta Arenas,CL,-53.15,-70.9167,35.62,75,40,19.66,scattered clouds
35,Hilo,US,19.7297,-155.09,74.28,85,90,6.91,overcast clouds
36,Kodiak,US,57.79,-152.4072,47.71,87,90,5.75,overcast clouds
37,Khabary,RU,53.6259,79.5345,51.28,52,61,3.94,broken clouds
38,Conceicao Do Araguaia,BR,-8.2578,-49.2647,93.33,33,0,3.44,clear sky
39,Hambantota,LK,6.1241,81.1185,81.05,80,100,18.99,overcast clouds
40,Geraldton,AU,-28.7667,114.6,65.12,94,90,14.9,light rain
41,Chuy,UY,-33.6971,-53.4616,62.96,73,53,6.42,moderate rain
42,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
43,Taltal,CL,-25.4,-70.4833,65.93,74,31,5.5,scattered clouds
44,Carnarvon,AU,-24.8667,113.6333,69.87,100,75,12.66,moderate rain
45,Port Elizabeth,ZA,-33.918,25.5701,66.49,59,0,21.85,clear sky
46,Vryburg,ZA,-26.9566,24.7284,59.88,29,1,9.06,clear sky
47,Kumbo,CM,6.2,10.6667,63.81,90,49,0.47,light rain
48,Chokurdakh,RU,70.6333,147.9167,44.37,61,30,12.12,scattered clouds
49,Kyshtovka,RU,56.555,76.6271,42.69,68,34,2.59,scattered clouds
50,Lazaro Cardenas,MX,17.9583,-102.2,87.46,49,71,7.67,broken clouds
