City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-05-25 05:14:13,-53.15,-70.9167,32.11,75,75,23.58
1,Bambous Virieux,MU,2021-05-25 05:14:14,-20.3428,57.7575,78.22,68,55,10.45
2,Busselton,AU,2021-05-25 05:14:14,-33.65,115.3333,63.05,52,99,2.17
3,Yellowknife,CA,2021-05-25 05:11:36,62.456,-114.3525,32.56,54,0,3.0
4,Bethel,US,2021-05-25 05:14:14,41.3712,-73.414,58.35,67,90,3.44
5,Kaitangata,NZ,2021-05-25 05:14:14,-46.2817,169.8464,42.93,75,0,3.27
6,Grand-Lahou,CI,2021-05-25 05:14:15,5.1367,-5.0242,79.86,88,72,8.16
7,Kapaa,US,2021-05-25 05:10:39,22.0752,-159.319,80.58,74,40,2.71
8,Saint George,US,2021-05-25 05:14:15,37.1041,-113.5841,73.26,19,1,9.22
9,Hilo,US,2021-05-25 05:13:34,19.7297,-155.09,77.79,88,75,5.75
10,Saint-Philippe,RE,2021-05-25 05:14:15,-21.3585,55.7679,76.55,76,18,9.46
11,Ulaangom,MN,2021-05-25 05:12:17,49.9811,92.0667,69.39,25,62,13.85
12,Cayenne,GF,2021-05-25 05:14:16,4.9333,-52.3333,77.04,91,90,8.37
13,Mitchell,US,2021-05-25 05:14:10,43.7094,-98.0298,66.18,90,1,8.99
14,Urumqi,CN,2021-05-25 05:14:16,43.801,87.6005,81.55,18,0,8.52
15,Torbay,CA,2021-05-25 05:14:16,47.6666,-52.7314,33.28,83,4,3.0
16,Ushuaia,AR,2021-05-25 05:14:17,-54.8,-68.3,28.06,86,90,18.41
17,Carnarvon,AU,2021-05-25 05:14:17,-24.8667,113.6333,69.39,35,0,15.19
18,Te Anau,NZ,2021-05-25 05:14:17,-45.4167,167.7167,42.48,70,1,1.19
19,Vaini,TO,2021-05-25 05:14:17,-21.2,-175.2,73.56,83,75,5.75
20,Esperance,AU,2021-05-25 05:14:18,-33.8667,121.9,57.04,64,100,11.63
21,Namibe,AO,2021-05-25 05:14:18,-15.1961,12.1522,72.36,62,0,2.75
22,Albany,US,2021-05-25 05:14:18,42.6001,-73.9662,58.15,74,77,4.99
23,Kabare,CD,2021-05-25 05:14:18,-2.4683,28.8242,60.6,97,94,1.77
24,Nikolskoye,RU,2021-05-25 05:14:19,59.7035,30.7861,52.39,75,92,3.67
25,Alihe,CN,2021-05-25 05:14:19,50.5667,123.7167,48.85,68,100,4.25
26,Muros,ES,2021-05-25 05:14:19,42.7762,-9.0603,53.83,81,24,7.2
27,Berriozabal,MX,2021-05-25 05:14:19,16.8,-93.2667,73.72,88,100,1.39
28,Airai,TL,2021-05-25 05:14:20,-8.9266,125.4092,69.08,72,69,3.74
29,Iqaluit,CA,2021-05-25 05:14:20,63.7506,-68.5145,14.7,61,27,8.99
30,Maradi,NE,2021-05-25 05:14:20,13.5,7.1017,82.67,14,14,11.25
31,Butaritari,KI,2021-05-25 05:14:20,3.0707,172.7902,77.76,84,100,7.2
32,Margate,GB,2021-05-25 05:14:21,51.3813,1.3862,48.22,73,94,3.0
33,Tiksi,RU,2021-05-25 05:14:21,71.6872,128.8694,39.92,86,11,4.63
34,Faanui,PF,2021-05-25 05:14:21,-16.4833,-151.75,81.12,74,100,6.91
35,Matara,LK,2021-05-25 05:14:21,5.9485,80.5353,81.03,86,100,17.92
36,Avarua,CK,2021-05-25 05:14:22,-21.2078,-159.775,80.65,89,20,6.91
37,Bredasdorp,ZA,2021-05-25 05:14:22,-34.5322,20.0403,54.28,76,94,3.2
38,Krizevci,HR,2021-05-25 05:14:22,46.0219,16.5425,55.8,90,8,1.68
39,Araruna,BR,2021-05-25 05:14:22,-6.5583,-35.7417,64.54,92,81,6.06
40,Khatanga,RU,2021-05-25 05:14:23,71.9667,102.5,32.36,100,100,10.83
41,Puerto Ayora,EC,2021-05-25 05:14:23,-0.7393,-90.3518,74.55,91,57,4.0
42,Vao,NC,2021-05-25 05:14:23,-22.6667,167.4833,71.56,64,12,21.05
43,Rikitea,PF,2021-05-25 05:14:24,-23.1203,-134.9692,74.61,86,100,8.5
44,Atuona,PF,2021-05-25 05:14:24,-9.8,-139.0333,80.28,73,1,18.5
45,Cordeiropolis,BR,2021-05-25 05:14:24,-22.4819,-47.4567,51.8,47,99,1.36
46,Nishihara,JP,2021-05-25 05:14:24,26.1842,127.7558,78.46,77,75,7.45
47,Tilichiki,RU,2021-05-25 05:14:25,60.4667,166.1,38.52,82,98,10.4
48,Barrow,US,2021-05-25 05:14:25,71.2906,-156.7887,26.62,80,90,3.44
49,Puerto Escondido,MX,2021-05-25 05:14:25,15.85,-97.0667,82.56,77,84,4.94
50,Sinnamary,GF,2021-05-25 05:14:25,5.3833,-52.95,76.23,96,100,7.65
51,Hermanus,ZA,2021-05-25 05:14:26,-34.4187,19.2345,60.91,78,97,5.1
52,Georgetown,MY,2021-05-25 05:11:22,5.4112,100.3354,89.53,68,20,6.78
53,Tuatapere,NZ,2021-05-25 05:14:26,-46.1333,167.6833,43.2,73,3,0.96
54,Coquimbo,CL,2021-05-25 05:10:24,-29.9533,-71.3436,49.73,68,0,3.18
55,Coihaique,CL,2021-05-25 05:14:26,-45.5752,-72.0662,40.95,52,0,5.75
56,Maarianhamina,AX,2021-05-25 05:14:27,60.0973,19.9348,49.86,87,20,6.91
57,Vostok,RU,2021-05-25 05:14:27,46.4856,135.8833,50.23,68,99,9.1
58,Mackay,AU,2021-05-25 05:14:27,-21.15,149.2,74.68,76,39,12.33
59,Sadovoye,RU,2021-05-25 05:14:28,47.7764,44.5089,64.56,76,98,15.7
60,Salinopolis,BR,2021-05-25 05:14:28,-0.6136,-47.3561,80.06,85,18,11.07
61,Cherskiy,RU,2021-05-25 05:14:28,68.75,161.3,53.13,46,100,10.2
62,Kahului,US,2021-05-25 05:14:28,20.8947,-156.47,79.84,77,40,5.75
63,Bilma,NE,2021-05-25 05:14:29,18.6853,12.9164,82.54,8,0,10.96
64,Lagoa,PT,2021-05-25 05:14:29,39.05,-27.9833,62.02,75,100,10.92
65,Port Blair,IN,2021-05-25 05:14:29,11.6667,92.75,83.28,84,100,23.87
66,Balurghat,IN,2021-05-25 05:14:29,25.2167,88.7667,93.36,53,93,10.8
67,Hithadhoo,MV,2021-05-25 05:10:55,-0.6,73.0833,84.42,70,100,17.34
68,Biak,ID,2021-05-25 05:14:30,-0.9131,122.8766,83.82,66,76,4.7
69,Tefe,BR,2021-05-25 05:14:30,-3.3542,-64.7114,75.87,82,40,1.72
70,Mataura,NZ,2021-05-25 05:14:30,-46.1927,168.8643,38.73,84,1,2.17
71,Vestmannaeyjar,IS,2021-05-25 05:14:31,63.4427,-20.2734,43.5,74,89,17.0
72,Bluff,NZ,2021-05-25 05:14:31,-46.6,168.3333,43.99,65,4,2.28
73,Rabo De Peixe,PT,2021-05-25 05:14:31,37.8,-25.5833,62.11,66,20,10.0
74,Kalabo,ZM,2021-05-25 05:14:31,-14.97,22.6814,50.41,87,0,5.35
75,Sierra Vista,US,2021-05-25 05:14:32,31.5545,-110.3037,69.85,7,1,13.8
76,Cape Town,ZA,2021-05-25 05:14:32,-33.9258,18.4232,61.12,94,99,4.81
77,New Norfolk,AU,2021-05-25 05:14:32,-42.7826,147.0587,63.91,55,100,10.18
78,Tuktoyaktuk,CA,2021-05-25 05:14:32,69.4541,-133.0374,33.06,83,18,8.75
79,Nouadhibou,MR,2021-05-25 05:05:11,20.931,-17.0347,64.85,83,0,21.79
80,Grand Gaube,MU,2021-05-25 05:14:33,-20.0064,57.6608,78.39,67,9,4.0
81,Ribeira Grande,PT,2021-05-25 05:14:33,38.5167,-28.7,63.79,83,100,22.55
82,Fort Nelson,CA,2021-05-25 05:14:33,58.8053,-122.7002,50.88,42,100,5.79
83,Hobart,AU,2021-05-25 05:12:20,-42.8794,147.3294,64.26,60,75,5.01
84,Srandakan,ID,2021-05-25 05:14:34,-7.9386,110.2506,82.72,74,99,2.04
85,Geraldton,AU,2021-05-25 05:14:34,-28.7667,114.6,66.61,45,0,10.76
86,Whitehorse,CA,2021-05-25 05:14:34,60.7161,-135.0538,48.31,61,100,0.81
87,Talnakh,RU,2021-05-25 05:14:34,69.4865,88.3972,28.94,85,100,19.3
88,Norman Wells,CA,2021-05-25 05:14:35,65.282,-126.8329,50.0,40,94,6.73
89,Mount Gambier,AU,2021-05-25 05:14:35,-37.8333,140.7667,55.31,88,75,17.27
90,Buin,CL,2021-05-25 05:14:35,-33.7333,-70.75,59.05,49,0,4.88
91,Kilinochchi,LK,2021-05-25 05:14:36,9.3961,80.3982,89.38,63,96,21.45
92,Acapulco,MX,2021-05-25 05:09:49,16.8634,-99.8901,81.61,68,28,5.7
93,Qaanaaq,GL,2021-05-25 05:14:36,77.484,-69.3632,24.66,64,3,7.56
94,Namatanai,PG,2021-05-25 05:14:36,-3.6667,152.4333,80.06,86,99,7.4
95,Kasane,BW,2021-05-25 05:14:36,-17.8167,25.15,49.01,73,0,4.94
96,Lebu,CL,2021-05-25 05:14:37,-37.6167,-73.65,53.15,90,66,2.55
97,Pacific Grove,US,2021-05-25 05:00:26,36.6177,-121.9166,61.2,87,15,3.0
98,Luderitz,NA,2021-05-25 05:14:37,-26.6481,15.1594,63.01,69,100,11.16
99,Mandan,US,2021-05-25 05:14:37,46.8267,-100.8896,62.01,54,1,1.01
100,Erdenet,MN,2021-05-25 05:14:37,49.0333,104.0833,54.0,40,94,9.22
101,Caravelas,BR,2021-05-25 05:14:22,-17.7125,-39.2481,72.97,90,100,2.84
102,Klaksvik,FO,2021-05-25 05:14:38,62.2266,-6.589,45.52,93,99,16.69
103,San Juan,AR,2021-05-25 05:14:38,-31.5375,-68.5364,64.72,33,0,6.89
104,Roald,NO,2021-05-25 05:14:38,62.5833,6.1333,57.16,93,0,3.44
105,Inverell,AU,2021-05-25 05:14:39,-29.7833,151.1167,68.16,48,0,1.99
106,Tikaitnagar,IN,2021-05-25 05:14:39,26.95,81.5833,97.57,18,100,7.07
107,Sitka,US,2021-05-25 05:14:39,57.0531,-135.33,48.09,71,90,8.05
108,Inirida,CO,2021-05-25 05:14:39,3.8653,-67.9239,73.17,99,91,1.39
109,Mizque,BO,2021-05-25 05:14:40,-17.941,-65.3402,54.82,86,87,1.63
110,Porosozero,RU,2021-05-25 05:14:40,62.7191,32.727,35.96,86,100,7.7
111,Tukums,LV,2021-05-25 05:14:40,56.9669,23.1553,52.95,78,100,8.21
112,Camopi,GF,2021-05-25 05:14:40,3.1655,-52.3158,72.07,99,91,0.56
113,Pasni,PK,2021-05-25 05:14:41,25.2631,63.471,84.58,78,39,11.48
114,Mezen,RU,2021-05-25 05:14:41,65.8522,44.24,36.12,94,100,10.6
115,Fakel,RU,2021-05-25 05:14:41,57.6325,53.0252,61.83,53,100,5.12
116,Phon,TH,2021-05-25 05:14:41,15.816,102.5998,88.97,62,100,4.07
117,Burnie,AU,2021-05-25 05:14:42,-41.0667,145.9167,60.94,84,87,12.91
118,Katsuura,JP,2021-05-25 05:14:42,35.1333,140.3,83.23,69,67,9.66
119,Anloga,GH,2021-05-25 05:14:42,5.7947,0.8973,81.61,84,71,12.12
120,Victoria,HK,2021-05-25 05:12:48,22.2855,114.1577,84.38,83,18,1.99
121,Sayyan,YE,2021-05-25 05:14:43,15.1718,44.3244,66.67,41,26,3.15
122,Hit,IQ,2021-05-25 05:14:43,33.6416,42.8251,82.18,27,20,16.89
123,San Pedro,PH,2021-05-25 05:14:43,14.35,121.0167,93.31,42,77,8.1
124,Honiara,SB,2021-05-25 05:14:43,-9.4333,159.95,81.54,83,99,2.01
